,id,category
265,4e496f89b0fb37342ee2dc75,General Entertainment
266,4a26b903f964a520c77e1fe3,Smoothie Shop
267,4b044c6ef964a5200e5322e3,Coffee Shop
268,4a5a8cdaf964a5208bba1fe3,Hotel
269,4abbbbbff964a5209a8420e3,Pet Store
270,3fd66200f964a52007f11ee3,Mexican Restaurant
271,51dd9bea498e6b8406e04351,Music Venue
272,4a95cb64f964a520b92420e3,Coffee Shop
273,4abecfbaf964a5200b9020e3,American Restaurant
274,592a4fac9ec3990ab1af0f1a,Italian Restaurant
275,4ad394def964a5200ae520e3,Frozen Yogurt Shop
276,4a96ed53f964a5208e2720e3,Greek Restaurant
277,4c0073308c1076b0b1372071,Cocktail Bar
278,4b464092f964a520921b26e3,Steakhouse
279,4a92eacbf964a520261e20e3,Japanese Restaurant
280,4b5b20def964a52025e528e3,Bagel Shop
281,4ad22e1df964a520e2df20e3,Cosmetics Shop
282,4acbabfef964a520ebc420e3,Coffee Shop
283,474cd1b0f964a520a14c1fe3,Karaoke Bar
284,4e98e1bf30f8e35f5579f04f,Park
285,4aef4a91f964a52047d721e3,Chinese Restaurant
286,4ad13b18f964a52097dd20e3,Sushi Restaurant
287,4bba8a8498c7ef3b0e453302,Shoe Store
288,4b13404ff964a520e79523e3,Grocery Store
289,4f8339dde4b0fdf503f59853,Food Truck
290,4c216e989390c9b61e1ac9cd,Gas Station
291,4bf9e0154a67c928329e27cf,Video Store
292,4ba52742f964a520b8e438e3,Salon / Barbershop
293,4c134a03a1010f475f6c4a18,Gym
294,4b635c94f964a52090742ae3,Chinese Restaurant
295,4b0702fff964a5205ef522e3,Fried Chicken Joint
296,4b06efb5f964a5207ef322e3,Sandwich Place
297,4b16ba89f964a5209cbc23e3,Pharmacy
298,4c867691d92ea093e1936e72,Film Studio
299,5368f40c498e999c65502842,Café
300,4bef3fbdf2712d7fa48afbd8,Convenience Store
301,4a7b3324f964a52048ea1fe3,BBQ Joint
302,5cca50af2be4250039b8d818,Burger Joint
303,54f4e97d498ee6c73aa6f260,New American Restaurant
304,4c5dc556857ca5934be3cdcb,Restaurant
305,4b2be156f964a520e7bc24e3,Pharmacy
306,5a0665ca69e77b140cd636d3,Vietnamese Restaurant
307,4b9bf8e3f964a520203c36e3,Gas Station
308,4df663c945dd4e269349fbad,Costume Shop
309,51157e5fe4b06347f96d2c2a,Gym / Fitness Center
310,509c429a498ec5d3be348345,Gym
311,4d6b069d7e3eba7a9066f04c,Shipping Store
312,4cd07a3f6200b1f7317ed428,Coffee Shop
313,4c363efa1e06d13a24e3733e,Theater
314,5be66f7e7a0eff00250deb84,Mediterranean Restaurant
315,4bbb7b3c9858d13a986633a2,Gastropub
316,51a9eab5498e83fcde448dbb,Athletics & Sports
317,51743a42498e82ceadb66600,Food Truck
318,4b4bdd57f964a520f9a926e3,Antique Shop
319,4b2bf130f964a52028be24e3,Food Truck
320,4b15c089f964a520c0b323e3,Paper / Office Supplies Store
321,4c3e11c80596c9283bc78378,Sandwich Place
322,52c75574498e2304be1b38bf,Café
323,4b5543a3f964a5203de027e3,Fast Food Restaurant
324,4bb7e1a53db7b713f3b7209a,Paper / Office Supplies Store
325,4b44f04cf964a5204c0026e3,Furniture / Home Store
326,4b677ce8f964a520eb512be3,Rental Car Location
327,4b8da9b3f964a5202f0733e3,Pharmacy
328,57094975cd10b7535af0971a,Street Art
329,4ace8cc1f964a5202dd120e3,Museum
330,42893400f964a5207e231fe3,Basketball Stadium
331,512d898ae4b0a2341d02746a,Basketball Court
332,4aca27e7f964a520a4c020e3,Concert Hall
333,5a29fc9f9d6a191b4ec7caf4,Sports Bar
334,4b098edff964a520651923e3,General Entertainment
335,566f3542498ee1fbcca7035e,Stadium
336,50a6d473e4b0c708dc869e31,Monument / Landmark
337,4b6900daf964a52092962be3,Hotel
338,594abc09bed48370322b4f49,Hotel
339,57ffbd3c38fa54159d1a453a,Pizza Place
340,49f8d830f964a5202c6d1fe3,Bar
341,4b06059df964a5209ce722e3,Steakhouse
342,4d5f36681ee8721eedfe9b21,Sculpture Garden
