Marijuana Dispensary,21
Food Court,21
Business Service,21
Health & Beauty Service,21
Snack Place,21
Gastropub,21
Dance Studio,21
Hot Dog Joint,21
Speakeasy,21
Noodle House,20
Baseball Field,20
Historic Site,20
Dive Bar,20
Golf Course,19
Art Museum,19
Women's Store,19
Massage Studio,19
Frozen Yogurt Shop,19
Brewery,19
Athletics & Sports,19
Pool,18
Salad Place,18
Bus Station,18
Record Shop,18
Garden,18
Plaza,18
ATM,17
General Entertainment,17
Kids Store,17
Supplement Shop,17
History Museum,16
Flea Market,16
Electronics Store,16
Filipino Restaurant,16
Poke Place,16
Big Box Store,16
Wine Shop,15
Candy Store,15
Karaoke Bar,15
Paper / Office Supplies Store,15
Lingerie Store,14
Cajun / Creole Restaurant,14
Pub,14
Comedy Club,14
Concert Hall,14
Automotive Shop,14
Food & Drink Shop,14
Arcade,14
Mountain,13
Hawaiian Restaurant,13
South American Restaurant,13
Train Station,12
Office,12
Auto Garage,12
Basketball Court,12
Toy / Game Store,12
Bagel Shop,12
Nail Salon,12
Hotel Bar,12
Beer Garden,11
Tennis Court,11
Sculpture Garden,11
Rock Club,11
Sports Bar,11
Gourmet Shop,11
Caribbean Restaurant,11
Construction & Landscaping,11
Dim Sum Restaurant,10
Shop & Service,10
Pilates Studio,10
Dumpling Restaurant,10
Miscellaneous Shop,10
Neighborhood,10
Gay Bar,10
Martial Arts Dojo,10
Hobby Shop,10
Residential Building (Apartment / Condo),10
Health Food Store,9
Print Shop,9
Science Museum,9
Burrito Place,9
Insurance Office,9
Brazilian Restaurant,9
Indie Movie Theater,9
Comic Shop,8
Board Shop,8
Event Space,8
Argentinian Restaurant,8
Baseball Stadium,8
Ethiopian Restaurant,8
Hookah Bar,8
Cafeteria,8
Film Studio,8
Other Great Outdoors,7
Jewelry Store,7
Cupcake Shop,7
Bus Stop,7
Dog Run,7
Storage Facility,7
Bowling Alley,7
Warehouse Store,7
Shopping Plaza,6
Laundry Service,6
Building,6
Skate Park,6
Cycle Studio,6
Bus Line,6
Moving Target,6
Greek Restaurant,6
Food Stand,6
Platform,6
Antique Shop,6
Garden Center,6
Music Store,6
Lawyer,6
Jazz Club,6
Spanish Restaurant,6
Hotel Pool,5
Cuban Restaurant,5
Soccer Field,5
Beer Bar,5
Buffet,5
Laundromat,5
Stationery Store,5
Multiplex,5
Rest Area,5
Lake,5
Kitchen Supply Store,5
Other Repair Shop,5
Szechuan Restaurant,5
Indie Theater,5
Aquarium,4
Taiwanese Restaurant,4
Smoothie Shop,4
Indonesian Restaurant,4
Fountain,4
Outdoors & Recreation,4
Recreation Center,4
Casino,4
Check Cashing Service,4
Design Studio,4
Financial or Legal Service,4
Comfort Food Restaurant,4
Stadium,4
Irish Pub,4
Pie Shop,4
Climbing Gym,4
Hotpot Restaurant,4
Dry Cleaner,4
Bed & Breakfast,4
German Restaurant,3
Theme Restaurant,3
Fish Market,3
Tailor Shop,3
Fabric Shop,3
Locksmith,3
Halal Restaurant,3
Motorcycle Shop,3
Bike Rental / Bike Share,3
Whisky Bar,3
Event Service,3
Track,3
Falafel Restaurant,3
Tunnel,3
Shoe Repair,3
Gymnastics Gym,3
Butcher,3
Costume Shop,3
Outdoor Sculpture,3
Weight Loss Center,3
Drugstore,3
Bridal Shop,3
Bridge,3
Monument / Landmark,3
Other Nightlife,3
Amphitheater,3
Taxi Stand,3
